Date,Pattern,Price,direction,breakout_close,resistance,volume_ratio,Figure,low1,low2,bounce_pct,micro_double,high1,high2,drop_pct,pole_move_pct,flag_avg_overlap,flag_inside_ratio
2025-09-10,Breakout,6537.5,up,6537.5,6541.75,1.0,figures/breakout_01109.png,,,,,,,,,,
2025-09-25,Breakout,6661.5,down,6661.5,6756.75,1.0,figures/breakout_01120.png,,,,,,,,,,
2025-10-01,Breakout,6755.25,up,6755.25,6756.75,1.0,figures/breakout_01124.png,,,,,,,,,,
2025-10-14,Double Bottom,6680.25,,,,,figures/double_bottom_01133.png,6426.5,6589.5,5.96,none,,,,,,
2025-10-20,Breakout,6777.25,up,6777.25,6809.5,1.0,figures/breakout_01137.png,,,,,,,,,,
2025-10-24,Breakout,6825.5,up,6825.5,6809.5,1.0,figures/breakout_01141.png,,,,,,,,,,
2025-10-28,Double Top,6924.0,,,,,figures/double_top_01143.png,,,,none,6801.75,6944.75,5.12,,,
2025-11-04,Breakout,6803.25,down,6803.25,6952.0,1.0,figures/breakout_01148.png,,,,,,,,,,
2025-11-07,Double Bottom,6760.5,,,,,figures/double_bottom_01151.png,6589.5,6655.5,5.5,none,,,,,,
2025-11-17,Breakout,6700.0,down,6700.0,6952.0,1.0,figures/breakout_01157.png,,,,,,,,,,
2025-12-03,Breakout,6864.25,up,6864.25,6952.0,1.02,figures/breakout_01168.png,,,,,,,,,,
2025-12-04,Double Top,6865.75,,,,,figures/double_top_01169.png,,,,none,6952.0,6876.75,5.94,,,
2025-12-10,Breakout,6891.25,up,6891.25,6952.0,1.02,figures/breakout_01173.png,,,,,,,,,,
2025-12-17,Breakout,6794.5,down,6794.5,6914.75,1.02,figures/breakout_01178.png,,,,,,,,,,
2025-12-22,Breakout,6931.25,up,6931.25,6914.75,1.02,figures/breakout_01181.png,,,,,,,,,,
2025-12-31,Breakout,6897.5,down,6897.5,6994.0,1.03,figures/breakout_01187.png,,,,,,,,,,
2026-01-20,Breakout,6839.5,down,6839.5,7025.25,1.02,figures/breakout_01199.png,,,,,,,,,,
2026-01-27,Breakout,7006.75,up,7006.75,7025.25,1.02,figures/breakout_01204.png,,,,,,,,,,
2026-02-03,Breakout,6941.75,down,6941.75,7031.0,1.02,figures/breakout_01209.png,,,,,,,,,,
2026-02-11,Breakout,6962.5,up,6962.5,7031.0,1.0,figures/breakout_01215.png,,,,,,,,,,
2026-02-25,Breakout,6961.75,up,6961.75,7031.0,1.0,figures/breakout_01224.png,,,,,,,,,,
